Paradigm,Head orientation,Torso orientation,Arms/Hands,Facial affect,Proxemics,Sentiment_Score
A,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,Neutral,Neutral/Side,"Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,Back,"Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,Back,"Smile, Raised brows",Comfortable,0
A,Tracking,Tracking,Back,Neutral,Comfortable,0
B,Tracking,Neutral,Back,Neutral,Comfortable,0
F,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
A,Tracking,"Neutral, Tracking","Crossed, Self-touch","Smile, Neutral","Comfortable, Withdrawal signal",0
F,"Tracking, Away",Tracking,"Crossed, Self-touch","Neutral, Smile, Raised brows",Comfortable,0
B,"Tracking, Neutral","Neutral, Tracking","Crossed, Self-touch","Neutral, Frown",Comfortable,0
B,"Tracking, Away, Neutral","Neutral, Tracking","Crossed, Self-touch, Neutral/Side","Neutral, Smile, Raised brows",Comfortable,0
B,Tracking,Tracking,Crossed,"Neutral, Frown, Raised brows",Comfortable,0
A,"Tracking, Away",Tracking,"Crossed, Self-touch, Neutral/Side",Smile,Comfortable,0
F,"Away, Neutral","Neutral, Tracking","Crossed, Self-touch","Neutral, Smile",Comfortable,0
F,"Neutral, Away, Tracking","Tracking, Neutral",Back,Smile,"Comfortable, Invasion",0
B,"Tracking, Away","Tracking, Neutral",Back,Smile,Comfortable,0
A,"Tracking, Away, Neutral","Neutral, Tracking","Back, Self-touch, Neutral/Side","Smile, Neutral",Comfortable,0
B,Tracking,Neutral,"Crossed, Self-touch, Neutral/Side","Neutral, Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,"Crossed, Self-touch, Neutral/Side","Neutral, Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,"Neutral/Side, Self-touch","Neutral, Smile, Raised brows",Comfortable,0
,Tracking,Neutral,"Neutral/Side, Self-touch, Fidgeting","Neutral, Smile, Raised brows",Comfortable,0
F,"Tracking, Away",Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
A,Tracking,Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
B,Tracking,Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
A,Tracking,Neutral,"Crossed, Self-touch, Neutral/Side","Smile, Neutral",Comfortable,0
B,Tracking,Tracking,"Crossed, Self-touch, Neutral/Side",Smile,Comfortable,0
F,Tracking,Neutral,"Neutral/Side, Crossed, Self-touch","Smile, Neutral",Comfortable,0
B,"Tracking, Away",Neutral,Back,Smile,Comfortable,0
A,"Away, Tracking",Neutral,"Back, Self-touch","Smile, Raised brows",Comfortable,0
F,"Away, Tracking",Neutral,Back,"Smile, Raised brows",Comfortable,0
F,"Tracking, Away",Neutral,Neutral/Side,"Neutral, Smile, Frown, Raised brows",Comfortable,0
B,Tracking,Neutral,Crossed,"Neutral, Smile, Frown",Comfortable,0
A,Tracking,"Neutral, Away",Fidgeting,"Neutral, Smile, Frown",Comfortable,0
F,Tracking,Tracking,"Neutral/Side, Self-touch","Neutral, Frown, Raised brows",Comfortable,0
B,"Tracking, Away",Tracking,"Neutral/Side, Self-touch","Neutral, Smile, Frown",Comfortable,0
A,Tracking,Tracking,Neutral/Side,"Neutral, Smile, Frown",Comfortable,0
A,Tracking,Neutral,Back,"Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,Back,"Neutral, Smile, Frown",Comfortable,0
F,Tracking,Neutral,Back,"Neutral, Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,"Neutral/Side, Crossed, Self-touch","Neutral, Smile, Raised brows",Comfortable,0
B,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
F,Tracking,Neutral,Back,"Neutral, Smile",Comfortable,0
F,Tracking,Tracking,Neutral/Side,Smile,Comfortable,0
A,Tracking,Neutral,Neutral/Side,Smile,Comfortable,0
B,Tracking,Neutral,"Crossed, Self-touch",Smile,Comfortable,0
B,Tracking,Tracking,Back,"Smile, Raised brows",Comfortable,0
F,Tracking,Neutral,Crossed,"Neutral, Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,Back,"Neutral, Smile, Raised brows",Comfortable,0
B,"Tracking, Away",Tracking,"Crossed, Neutral/Side","Neutral, Smile","Comfortable, Withdrawal signal",0
F,Tracking,"Tracking, Neutral","Crossed, Self-touch",Smile,"Comfortable, Withdrawal signal",0
A,"Tracking, Away, Neutral","Neutral, Tracking","Back, Neutral/Side",Smile,"Comfortable, Withdrawal signal",0
F,"Neutral, Tracking","Neutral, Tracking",Crossed,"Neutral, Smile",Comfortable,0
B,"Away, Tracking, Neutral",Neutral,Crossed,"Neutral, Frown, Raised brows",Comfortable,0
A,"Neutral, Away",Neutral,Crossed,"Frown, Smile",Comfortable,0
F,"Neutral, Tracking",Neutral,"Crossed, Self-touch","Neutral, Smile",Comfortable,0
A,"Neutral, Tracking",Neutral,"Crossed, Self-touch","Neutral, Smile",Comfortable,0
B,Tracking,Neutral,"Crossed, Self-touch","Neutral, Smile",Comfortable,0
F,"Tracking, Neutral",Neutral,"Neutral/Side, Crossed","Neutral, Smile",Comfortable,0
B,"Neutral, Tracking",Neutral,"Neutral/Side, Self-touch","Neutral, Smile",Comfortable,0
A,"Neutral, Tracking",Neutral,Neutral/Side,"Neutral, Smile",Comfortable,0
B,"Neutral, Away",Neutral,Crossed,Neutral,Comfortable,0
F,"Tracking, Away","Neutral, Tracking",Back,Smile,Comfortable,0
A,"Tracking, Neutral",Neutral,Back,"Neutral, Smile",Comfortable,0
A,Tracking,Tracking,Back,"Neutral, Frown",Comfortable,0
B,Tracking,"Neutral, Tracking",Back,"Neutral, Smile",Comfortable,0
F,"Neutral, Tracking",Neutral,Back,"Neutral, Smile",Comfortable,0
B,"Tracking, Away, Neutral",Neutral,"Crossed, Self-touch, Neutral/Side",Neutral,"Comfortable, Withdrawal signal",0
A,"Tracking, Away, Neutral",Neutral,"Crossed, Self-touch, Neutral/Side",Neutral,"Comfortable, Withdrawal signal",0
F,Tracking,Tracking,"Neutral/Side, Self-touch",Neutral,Comfortable,0
,"Tracking, Neutral","Neutral, Tracking",Neutral/Side,Neutral,Comfortable,0
F,"Tracking, Away",Tracking,"Crossed, Self-touch, Neutral/Side","Neutral, Smile",Comfortable,0
A,Tracking,Neutral,"Crossed, Self-touch",Neutral,Comfortable,0
B,Tracking,Neutral,Crossed,Smile,Comfortable,0
A,Tracking,Tracking,"Crossed, Self-touch, Neutral/Side","Neutral, Smile",Comfortable,0
B,Tracking,"Tracking, Neutral","Crossed, Self-touch, Back, Neutral/Side","Smile, Neutral",Comfortable,0
F,"Tracking, Neutral",Neutral,"Neutral/Side, Crossed, Self-touch, Back",Neutral,Comfortable,0
B,"Neutral, Away, Tracking","Neutral, Away",Back,Neutral,"Comfortable, Withdrawal signal",0
A,"Away, Tracking",Neutral,Back,"Neutral, Smile","Comfortable, Withdrawal signal",0
F,"Away, Tracking, Neutral",Neutral,"Back, Self-touch",Smile,Comfortable,0
F,Tracking,"Neutral, Tracking",Neutral/Side,"Neutral, Smile",Comfortable,0
B,Tracking,"Neutral, Tracking",Crossed,"Neutral, Smile, Frown",Comfortable,0
A,"Neutral, Away",Neutral,Crossed,Neutral,Comfortable,0
F,Neutral,Neutral,"Neutral/Side, Self-touch",Neutral,Comfortable,0
B,"Neutral, Away, Tracking",Neutral,Neutral/Side,Neutral,Comfortable,0
A,"Tracking, Neutral",Neutral,Neutral/Side,"Neutral, Smile, Raised brows",Comfortable,0
A,Tracking,Neutral,Back,"Neutral, Smile","Comfortable, Withdrawal signal",0
B,"Tracking, Neutral",Neutral,Back,Neutral,Comfortable,0
F,Tracking,Neutral,Back,Neutral,Comfortable,0
A,Tracking,"Neutral, Tracking","Neutral/Side, Crossed, Self-touch","Neutral, Frown, Raised brows",Comfortable,0
B,"Tracking, Away","Neutral, Tracking",Back,Neutral,Comfortable,0
F,"Tracking, Away","Neutral, Tracking","Back, Self-touch",Neutral,Comfortable,0
F,"Tracking, Neutral","Tracking, Neutral",Neutral/Side,Smile,Comfortable,0
A,"Tracking, Away","Neutral, Tracking",Neutral/Side,Smile,Comfortable,0
A,"Neutral, Tracking",Neutral,"Crossed, Self-touch, Fidgeting","Neutral, Smile, Frown",Comfortable,0
B,Tracking,"Tracking, Neutral",Back,"Neutral, Smile",Comfortable,0
F,Tracking,Neutral,Crossed,Neutral,Comfortable,0
A,Tracking,Neutral,Back,"Neutral, Raised brows",Comfortable,0
B,Tracking,Tracking,Neutral/Side,"Smile, Raised brows",Comfortable,0
A,Tracking,"Neutral, Tracking",Neutral/Side,Smile,Comfortable,0
F,"Tracking, Neutral","Neutral, Tracking",Neutral/Side,Smile,"Comfortable, Withdrawal signal",0
A,Tracking,"Neutral, Tracking","Crossed, Self-touch","Smile, Raised brows",Comfortable,0
